year,energy_type,country_code,energy
1980,coal,BIH,
1980,natural_gas,BIH,
1980,petroleum,BIH,
1980,all_renewable,BIH,
1980,nuclear,BIH,
1980,renewables,BIH,
1980,total,BWA,0.014837055
1980,coal,BWA,0.008748818
1980,natural_gas,BWA,0
1980,petroleum,BWA,0.006088236
1980,all_renewable,BWA,7.00E-42
1980,renewables,BWA,7.00E-42
1980,total,BRA,3.955713609
1980,coal,BRA,0.182884586
1980,natural_gas,BRA,0.056616
1980,petroleum,BRA,2.34707645
1980,all_renewable,BRA,1.369136573
1980,nuclear,BRA,
1980,renewables,BRA,1.369136573
1980,total,VGB,0.000424408
1980,coal,VGB,0
1980,natural_gas,VGB,0
1980,petroleum,VGB,0.000424408
1980,all_renewable,VGB,0
1980,renewables,VGB,0
1980,total,BRN,0.082324303
1980,coal,BRN,0
1980,natural_gas,BRN,0.07284
1980,petroleum,BRN,0.009484303
1980,all_renewable,BRN,0
1980,renewables,BRN,0
1980,total,BGR,1.338832949
1980,coal,BGR,0.37598987
1980,natural_gas,BGR,0.16992
1980,petroleum,BGR,0.665221009
1980,all_renewable,BGR,0.127702071
1980,nuclear,BGR,0.06394486
1980,renewables,BGR,0.063757211
1980,total,BFA,0.0060363
1980,coal,BFA,0
1980,natural_gas,BFA,0
1980,petroleum,BFA,0.0060363
1980,all_renewable,BFA,0
1980,renewables,BFA,0
1980,total,MMR,0.069099285
1980,coal,MMR,0.000961977
1980,natural_gas,MMR,0.011517
1980,petroleum,MMR,0.048069721
1980,all_renewable,MMR,0.008550587
1980,renewables,MMR,0.008550587
1980,total,BDI,0.001594159
1980,coal,BDI,0
1980,natural_gas,BDI,0
1980,petroleum,BDI,0.001440315
1980,all_renewable,BDI,0.000153844
1980,renewables,BDI,0.000153844
1980,total,CPV,0.004094341
1980,coal,CPV,0
1980,natural_gas,CPV,0
1980,petroleum,CPV,0.004094341
1980,all_renewable,CPV,0
1980,renewables,CPV,0
1980,total,KHM,0.004513647
1980,coal,KHM,0
1980,natural_gas,KHM,0
1980,petroleum,KHM,0.004004635
1980,all_renewable,KHM,0.000509012
1980,renewables,KHM,0.000509012
1980,total,CMR,0.047082699
1980,coal,CMR,0
1980,natural_gas,CMR,0
1980,petroleum,CMR,0.033058899
1980,all_renewable,CMR,0.0140238
1980,renewables,CMR,0.0140238
1980,total,CAN,9.54058088
1980,coal,CAN,0.777218149
1980,natural_gas,CAN,1.915011
1980,petroleum,CAN,3.896123436
1980,all_renewable,CAN,2.952228295
1980,nuclear,CAN,0.41592096
1980,renewables,CAN,2.536307335
1980,total,CYM,0.001410515
1980,coal,CYM,0
1980,natural_gas,CYM,0
1980,petroleum,CYM,0.001410515
1980,all_renewable,CYM,0
1980,renewables,CYM,0
1980,total,CAF,0.002744509
1980,coal,CAF,0
1980,natural_gas,CAF,0
1980,petroleum,CAF,0.002058901
1980,all_renewable,CAF,0.000685608
1980,renewables,CAF,0.000685608
1980,total,TCD,0.004121931
1980,coal,TCD,0
1980,natural_gas,TCD,0
1980,petroleum,TCD,0.004121931
1980,all_renewable,TCD,0
1980,renewables,TCD,0
1980,total,CHL,0.427160216
1980,coal,CHL,0.033503477
1980,natural_gas,CHL,0.085
1980,petroleum,CHL,0.227151678
1980,all_renewable,CHL,0.081505061
1980,renewables,CHL,0.081505061
1980,total,CHN,19.09825902
1980,coal,CHN,13.80100389
1980,natural_gas,CHN,0.581255
1980,petroleum,CHN,4.124019021
1980,all_renewable,CHN,0.591981111
1980,nuclear,CHN,
1980,renewables,CHN,0.591981111
1980,total,COL,0.67750199
1980,coal,COL,0.090426034
1980,natural_gas,COL,0.1188
1980,petroleum,COL,0.319030243
1980,all_renewable,COL,0.149245714
1980,renewables,COL,0.149245714
1980,total,COM,0.000653749
1980,coal,COM,0
1980,natural_gas,COM,0
1980,petroleum,COM,0.000632973
1980,all_renewable,COM,0.000020776
1980,renewables,COM,0.000020776
1980,total,COG,0.011357328
1980,coal,COG,0
1980,natural_gas,COG,0.0004188
1980,petroleum,COG,0.009886232
1980,all_renewable,COG,0.001052296
1980,renewables,COG,0.001052296
1980,total,COD,0.089589995
1980,coal,COD,0.003596027
1980,natural_gas,COD,0
1980,petroleum,COD,0.040179886
1980,all_renewable,COD,0.045814083
1980,renewables,COD,0.045814083
1980,total,COK,0.000418826
1980,coal,COK,0
1980,natural_gas,COK,0
1980,petroleum,COK,0.000418826
1980,all_renewable,COK,0
1980,renewables,COK,0
1980,total,CRI,0.055134054
1980,coal,CRI,0
1980,natural_gas,CRI,0
1980,petroleum,CRI,0.03334003
1980,all_renewable,CRI,0.021794024
1980,renewables,CRI,0.021794024
1980,total,HRV,
1980,coal,HRV,
1980,natural_gas,HRV,
1980,petroleum,HRV,
1980,all_renewable,HRV,
1980,nuclear,HRV,
1980,renewables,HRV,
1980,total,CUB,0.455160787
1980,coal,CUB,0.002442816
1980,natural_gas,CUB,0.0006282
1980,petroleum,CUB,0.440255888
1980,all_renewable,CUB,0.011833884
1980,renewables,CUB,0.011833884
1980,total,CYP,0.042512174
1980,coal,CYP,0
1980,natural_gas,CYP,0
1980,petroleum,CYP,0.042512174
1980,all_renewable,CYP,0
1980,renewables,CYP,0
1980,total,CZE,
1980,coal,CZE,
1980,natural_gas,CZE,
1980,petroleum,CZE,
1980,all_renewable,CZE,
1980,nuclear,CZE,
1980,renewables,CZE,
1980,total,CIV,0.073119802
1980,coal,CIV,0
1980,natural_gas,CIV,0
1980,petroleum,CIV,0.059147942
1980,all_renewable,CIV,0.01397186
1980,renewables,CIV,0.01397186
1980,total,DNK,0.855960554
1980,coal,DNK,0.231815539
1980,natural_gas,DNK,0
1980,petroleum,DNK,0.6248169
1980,all_renewable,DNK,-0.000671885
1980,renewables,DNK,-0.000671885
1980,total,DJI,0.021651177
1980,coal,DJI,0
1980,natural_gas,DJI,0
1980,petroleum,DJI,0.021651177
1980,all_renewable,DJI,0
1980,renewables,DJI,0
1980,total,DMA,0.000503253
1980,coal,DMA,0
1980,natural_gas,DMA,0
1980,petroleum,DMA,0.000409761
1980,all_renewable,DMA,0.000093492
1980,renewables,DMA,0.000093492
1980,total,DOM,0.08626352
1980,coal,DOM,0
1980,natural_gas,DOM,0
1980,petroleum,DOM,0.079552872
1980,all_renewable,DOM,0.006710648
1980,renewables,DOM,0.006710648
1980,total,ECU,0.185668661
1980,coal,ECU,0
1980,natural_gas,ECU,0.0039
1980,petroleum,ECU,0.172603641
1980,all_renewable,ECU,0.00916502
1980,renewables,ECU,0.00916502
1980,total,EGY,0.714059411
1980,coal,EGY,0.022548752
1980,natural_gas,EGY,0.03141
1980,petroleum,EGY,0.559834951
1980,all_renewable,EGY,0.100265708
1980,renewables,EGY,0.100265708
1980,total,SLV,0.045191087
1980,coal,SLV,0
1980,natural_gas,SLV,0
1980,petroleum,SLV,0.029162403
1980,all_renewable,SLV,0.016028684
1980,renewables,SLV,0.016028684
1980,total,GNQ,0.000852269
1980,coal,GNQ,0
1980,natural_gas,GNQ,0
1980,petroleum,GNQ,0.000831493
1980,all_renewable,GNQ,0.000020776
1980,renewables,GNQ,0.000020776
1980,total,ERI,
1980,coal,ERI,
1980,natural_gas,ERI,
1980,petroleum,ERI,
1980,all_renewable,ERI,
1980,nuclear,ERI,
1980,renewables,ERI,
1980,total,EST,
1980,coal,EST,
1980,natural_gas,EST,
1980,petroleum,EST,
1980,all_renewable,EST,
1980,nuclear,EST,
1980,renewables,EST,
1980,total,SWZ,0.009513235
1980,coal,SWZ,0.004143529
1980,natural_gas,SWZ,0
1980,petroleum,SWZ,0.004060818
1980,all_renewable,SWZ,0.001308888
1980,renewables,SWZ,0.001308888
1980,total,ETH,0.030135605
1980,coal,ETH,0
1980,natural_gas,ETH,0
1980,petroleum,ETH,0.025222081
1980,all_renewable,ETH,0.004913524
1980,renewables,ETH,0.004913524
1980,total,FLK,0.000176937
1980,coal,FLK,0
1980,natural_gas,FLK,0
1980,petroleum,FLK,0.000176937
1980,all_renewable,FLK,0
1980,renewables,FLK,0
1980,total,FRO,0.000509012
1980,coal,FRO,0
1980,natural_gas,FRO,0
1980,petroleum,FRO,0
1980,all_renewable,FRO,0.000509012
